admiratio, admirationis, die Bewunderung; die Begeisterung, Caesars_Bellum_Gallicum_III
admittere, admitto; admisi; admittum, zulassen; begehen, Caesars_Bellum_Gallicum_III
aliqui, aliqua; aliquod, irgendein(e), Caesars_Bellum_Gallicum_III
antea, , vorher; früher, Caesars_Bellum_Gallicum_III
apud, + Akk., bei; in der Nähe von, Caesars_Bellum_Gallicum_III
cernere, cerno; cervi; cretum, wahrnehmen, Caesars_Bellum_Gallicum_III
comittere, committo; constiti, bestehen, Caesars_Bellum_Gallicum_III
consuetudo, consuetudinis, der Brauch, Caesars_Bellum_Gallicum_III
deus, -i, der Gott, Caesars_Bellum_Gallicum_III
differre, differo; distuli; dilatum (a/ab + Abl.), verschieden sein; sich unterscheiden von, Caesars_Bellum_Gallicum_III
diu, , lang; lange Zeit, Caesars_Bellum_Gallicum_III
divinus, a um, göttlich, Caesars_Bellum_Gallicum_III
duritia, duritiae, Abhärtung, Caesars_Bellum_Gallicum_III
erumpere, erumpo; eruuptum, ausbrechen; hervorbrechen, Caesars_Bellum_Gallicum_III
facinus, facinoris, die Tat; die Untat, Caesars_Bellum_Gallicum_III
ferre, fero; tuli; latum, tragen; bringen, Caesars_Bellum_Gallicum_III
ferrum, -i , das eisen; die Waffe, Caesars_Bellum_Gallicum_III
frumentum, -i, das Getride, Caesars_Bellum_Gallicum_III
habere, habeo; habui; habtum, haben; halten, Caesars_Bellum_Gallicum_III
hereditas, hereditatis, Erbschaft, Caesars_Bellum_Gallicum_III
